epoch,accuracy,loss,precision,recall
0,0.7614441514015198,0.8092082142829895,0.8728103041648865,0.6518684029579163
1,0.7671184539794922,0.7907419800758362,0.8782083988189697,0.6588951349258423
2,0.7755563855171204,0.7747973203659058,0.8812822699546814,0.6676270961761475
3,0.779995858669281,0.7407286763191223,0.8845013976097107,0.6756828427314758
4,0.7850233912467957,0.7300142645835876,0.886836588382721,0.6803869009017944
5,0.7795842885971069,0.7503414154052734,0.8848004341125488,0.6758592128753662
6,0.7788198590278625,0.7509223818778992,0.8803386092185974,0.6757122278213501
7,0.7890512347221375,0.718399167060852,0.8869243264198303,0.6902067065238953
8,0.7979596257209778,0.6898294687271118,0.8934946656227112,0.7034369111061096
9,0.7928733229637146,0.6943138241767883,0.8882777690887451,0.6979978084564209
10,0.7944315671920776,0.6911575794219971,0.8885570168495178,0.6997324824333191
11,0.8051333427429199,0.6637961268424988,0.8919206857681274,0.7130802869796753
12,0.801340639591217,0.6680640578269958,0.8919448256492615,0.70937579870224
13,0.802457869052887,0.6730897426605225,0.8919108510017395,0.7096110582351685
14,0.7929909229278564,0.7038369178771973,0.8853718042373657,0.7014670968055725
15,0.7998706102371216,0.6797693967819214,0.8896541595458984,0.7063769698143005
16,0.8064857721328735,0.6524642109870911,0.8916356563568115,0.7189604043960571
17,0.801634669303894,0.6665034294128418,0.8875302076339722,0.7127274870872498
18,0.8097198009490967,0.6495258808135986,0.894097089767456,0.7223120331764221
19,0.8071619868278503,0.6461054682731628,0.8926549553871155,0.7231940627098083
20,0.8145120739936829,0.6293599009513855,0.8963528871536255,0.7312498092651367
21,0.8266839385032654,0.5887758135795593,0.9055382609367371,0.744627058506012
22,0.8124834895133972,0.6240927577018738,0.893752932548523,0.7281039357185364
23,0.8164525032043457,0.6143172979354858,0.8947745561599731,0.7345132827758789
24,0.8197748064994812,0.6053867936134338,0.8968208432197571,0.7398053407669067
25,0.8155117034912109,0.615023136138916,0.8943008184432983,0.7363067269325256
26,0.8240672945976257,0.5888757705688477,0.8999822735786438,0.7452444434165955
27,0.8297121524810791,0.5684961676597595,0.9025516510009766,0.752918004989624
28,0.8239790797233582,0.588928759098053,0.899597704410553,0.7494487166404724
29,0.8223032355308533,0.5940691232681274,0.8965772986412048,0.7462734580039978
30,0.8363860845565796,0.5579916834831238,0.9069669842720032,0.7624143958091736
31,0.8227442502975464,0.6085800528526306,0.8956509232521057,0.7459501028060913
32,0.8282127380371094,0.5747796893119812,0.899915874004364,0.755005419254303
33,0.8385029435157776,0.5406728386878967,0.9084644317626953,0.7674124836921692
34,0.8382089138031006,0.5410904288291931,0.9048228859901428,0.768353283405304
35,0.8184223771095276,0.609982430934906,0.8922887444496155,0.7450386881828308
36,0.8366212844848633,0.5514355301856995,0.9045984148979187,0.7669126391410828
37,0.8435598015785217,0.5238895416259766,0.9065799713134766,0.7749096155166626
38,0.8374739289283752,0.5577998757362366,0.9009860157966614,0.768353283405304
39,0.8336518406867981,0.5553674101829529,0.8994195461273193,0.7653250098228455
40,0.8411489725112915,0.5325552225112915,0.9057586193084717,0.7773498296737671
41,0.8474701046943665,0.510323166847229,0.9075850248336792,0.784494161605835
42,0.8425601720809937,0.5326884984970093,0.9025572538375854,0.777202844619751
43,0.8458530306816101,0.5184728503227234,0.9071467518806458,0.7807015180587769
44,0.8346808552742004,0.557343602180481,0.8976917862892151,0.7695292830467224
45,0.8469408750534058,0.5145681500434875,0.9105383157730103,0.785199761390686
46,0.8492341041564941,0.5103574991226196,0.9106293320655823,0.787875235080719
47,0.8546438217163086,0.48868727684020996,0.9114149808883667,0.7955487370491028
48,0.8562314510345459,0.4850415587425232,0.9128401875495911,0.7978125810623169
49,0.8366506695747375,0.5457478165626526,0.9022435545921326,0.7744391560554504
50,0.8526445627212524,0.49833357334136963,0.9100509285926819,0.7930203080177307
51,0.853585422039032,0.4867699444293976,0.9094598889350891,0.7970775961875916
